time	bpm	respiration
31.1	145	1020
31.2	672	1020
31.3	449	1020
31.4	269	1020
31.5	435	1020
31.6	908	984
31.7	947	881
31.8	160	790
31.9	441	599
32.0	609	335
32.1	268	175
32.2	360	90
32.3	525	44
32.4	947	23
32.5	581	13
32.6	173	7
32.7	709	3
32.8	343	1
32.9	306	0
33.0	447	0
33.1	947	3
33.2	850	0
33.3	84	0
33.4	683	0
33.5	412	0
33.6	266	0
33.7	440	0
33.8	826	0
33.9	947	0
34.0	198	0
34.1	446	0
34.2	569	0
34.3	252	0
34.4	379	0
34.5	463	0
34.6	947	0
34.7	947	0
34.8	110	0
34.9	587	0
35.0	457	0
35.1	246	0
35.2	413	0
35.3	452	0
35.4	797	0
35.5	947	0
35.6	235	9
35.7	460	7
35.8	536	54
35.9	248	155
36.0	377	384
36.1	463	536
36.2	546	675
36.3	947	836
36.4	458	925
36.5	292	972
36.6	628	997
36.7	269	991
36.8	344	919
36.9	469	897
37.0	436	935
37.1	947	983
37.2	708	1005
37.3	182	1012
37.4	663	1014
37.5	313	1019
37.6	276	1020
37.7	439	1020
37.8	418	1020
37.9	947	1020
38.0	946	1020
38.1	96	1020
38.2	614	1020
38.3	420	1020
38.4	246	1019
38.5	408	1010
38.6	453	1009
38.7	537	1018
38.8	947	1006
38.9	487	1016
39.0	257	1020
39.1	648	1020
39.2	273	1020
39.3	318	1020
39.4	453	1020
39.5	415	1020
39.6	947	1019
39.7	946	1020
39.8	94	1020
39.9	654	1020
40.0	394	1017
40.1	274	938
40.2	441	989
40.3	447	1009
40.4	947	998
40.5	947	784
40.6	157	487
40.7	546	251
40.8	521	129
40.9	230	67
41.0	391	33
41.1	462	17
41.2	906	11
41.3	947	4
41.4	143	2
41.5	521	0
41.6	543	0
41.7	241	0
41.8	392	0
41.9	452	0
42.0	947	0
42.1	930	0
42.2	96	0
42.3	659	0
42.4	410	0
42.5	258	0
42.6	449	0
42.7	483	0
42.8	947	0
42.9	638	2
43.0	186	15
43.1	690	43
43.2	316	81
43.3	307	34
43.4	461	13
43.5	534	5
43.6	947	0
43.7	481	0
43.8	264	0
43.9	662	0
44.0	270	7
44.1	319	38
44.2	465	19
44.3	682	24
44.4	947	70
44.5	274	289
44.6	398	561
44.7	600	781
44.8	248	895
44.9	367	956
45.0	449	988
45.1	947	1005
45.2	947	1014
45.3	73	1018
45.4	611	1020
45.5	447	1020
45.6	249	1020
45.7	422	1020
45.8	481	1020
45.9	947	1020
46.0	479	1008
46.1	201	971
46.2	676	969
46.3	299	1002
46.4	319	1015
46.5	471	1012
46.6	819	1018
46.7	947	1016
46.8	146	1020
46.9	526	1020
47.0	537	1020
47.1	259	1020
47.2	423	1020
47.3	465	1020
47.4	947	954
47.5	849	995
47.6	127	1012
47.7	696	1019
47.8	387	973
47.9	297	768
48.0	468	513
48.1	481	267
48.2	947	136
48.3	507	69
48.4	258	36
48.5	683	18
48.6	283	9
48.7	331	6
48.8	465	1
48.9	947	0
49.0	947	0
49.1	124	6
49.2	626	0
49.3	485	3
49.4	271	7
49.5	436	0
49.6	757	0
49.7	947	0
49.8	218	7
49.9	474	0
50.0	563	0
50.1	267	0
50.2	838	0
50.3	271	0
50.4	349	0
50.5	576	0
50.6	323	0
50.7	373	13
50.8	454	91
50.9	425	47
51.0	409	36
51.1	947	33
51.2	947	89
51.3	338	295
51.4	615	556
51.5	400	772
51.6	269	891
51.7	465	954
51.8	739	988
51.9	947	1005
52.0	182	1014
52.1	477	1018
52.2	574	1020
52.3	248	1020
52.4	403	1020
52.5	510	1018
52.6	947	1020
52.7	602	1020
52.8	270	1020
52.9	670	1019
53.0	286	1011
53.1	369	966
53.2	467	973
53.3	947	984
53.4	947	1000
53.5	180	1015
53.6	618	1018
53.7	403	1019
53.8	298	1020
53.9	484	1020
54.0	751	1020
54.1	947	1000
54.2	215	994
54.3	561	1011
54.4	454	1019
54.5	257	1020
54.6	428	875
54.7	569	883
54.8	946	863
54.9	378	688
55.0	156	369
55.1	132	219
55.2	0	377
55.3	0	693
55.4	0	784
55.5	0	596
55.6	376	333
55.7	512	171
55.8	236	87
55.9	420	43
56.0	287	21
56.1	364	12
56.2	500	4
56.3	645	3
56.4	946	0
56.5	947	0
56.6	946	47
56.7	947	93
56.8	535	87
56.9	414	37
57.0	583	47
57.1	524	21
57.2	947	10
57.3	947	2
57.4	406	0
57.5	597	0
57.6	366	0
57.7	367	0
57.8	487	0
57.9	431	5
58.0	947	0
58.1	947	0
58.2	261	104
58.3	603	299
58.4	351	453
58.5	326	463
58.6	465	436
58.7	444	509
58.8	947	687
58.9	750	844
59.0	261	929
59.1	611	974
59.2	358	996
59.3	342	1009
59.4	458	1016
59.5	450	1019
59.6	947	1020
59.7	566	1020
59.8	273	1020
59.9	611	1020
60.0	326	1020
60.1	336	1020
60.2	454	1020
60.3	477	1020
60.4	947	1020
60.5	462	1020
60.6	281	1020
60.7	627	1020
60.8	324	1020
60.9	340	1010
61.0	457	1016
61.1	682	1020
61.2	947	1011
61.3	247	1018
61.4	445	1000
61.5	574	1008
61.6	287	1009
61.7	393	988
61.8	482	953
61.9	947	936
62.0	633	935
62.1	198	944
62.2	639	924
62.3	369	920
62.4	324	914
62.5	447	892
62.6	947	910
62.7	871	939
62.8	148	954
62.9	588	907
63.0	445	903
63.1	359	930
63.2	798	974
63.3	207	999
63.4	464	1003
63.5	509	1000
63.6	334	938
63.7	403	652
63.8	457	376
63.9	423	248
64.0	419	233
64.1	947	278
64.2	947	334
64.3	194	412
64.4	679	471
64.5	384	521
64.6	299	560
64.7	468	596
64.8	662	632
64.9	947	691
65.0	216	758
65.1	470	795
65.2	575	819
65.3	282	906
65.4	413	963
65.5	733	686
65.6	947	351
65.7	230	181
65.8	502	92
65.9	556	45
66.0	297	69
66.1	428	310
66.2	947	292
66.3	730	132
66.4	230	63
66.5	665	30
66.6	382	20
66.7	350	9
66.8	945	5
66.9	914	0
67.0	175	0
67.1	598	0
67.2	419	0
67.3	332	0
67.4	519	0
67.5	947	0
67.6	404	3
67.7	387	105
67.8	557	44
67.9	295	23
68.0	433	183
68.1	500	355
68.2	947	593
68.3	547	792
68.4	328	901
68.5	560	955
68.6	292	986
68.7	396	1004
68.8	430	1014
68.9	947	1017
69.0	668	1011
69.1	255	989
69.2	591	984
69.3	313	1009
69.4	332	1016
69.5	453	1001
69.6	381	1011
69.7	947	1018
69.8	599	1020
69.9	280	1020
70.0	536	1020
70.1	296	1020
70.2	343	1020
70.3	444	1020
70.4	403	1020
70.5	815	936
70.6	947	591
70.7	243	306
70.8	490	158
70.9	451	81
71.0	316	40
71.1	457	19
71.2	446	12
71.3	465	11
71.4	947	16
71.5	490	7
71.6	342	3
71.7	562	0
71.8	309	0
71.9	399	0
72.0	473	0
72.1	386	6
72.2	939	115
72.3	947	235
72.4	251	569
72.5	585	785
72.6	431	898
72.7	300	958
72.8	447	990
72.9	447	945
73.0	391	930
73.1	947	952
73.2	646	961
73.3	252	990
73.4	635	1007
73.5	337	1016
73.6	367	1019
73.7	490	1020
73.8	427	1020
73.9	620	1020
74.0	947	1020
74.1	297	796
74.2	447	414
74.3	573	215
74.4	229	111
74.5	500	56
74.6	390	62
74.7	279	273
74.8	0	458
74.9	192	374
75.0	0	199
75.1	0	97
75.2	0	47
75.3	0	23
75.4	159	11
75.5	335	5
75.6	560	0
75.7	946	0
75.8	335	0
75.9	345	0
76.0	462	0
76.1	215	0
76.2	289	0
76.3	406	0
76.4	946	28
76.5	946	16
76.6	217	57
76.7	647	29
76.8	395	109
76.9	256	212
77.0	407	287
77.1	946	446
77.2	946	599
77.3	228	461
77.4	582	227
77.5	412	124
77.6	260	113
77.7	420	54
77.8	946	26
77.9	946	71
78.0	287	508
78.1	594	756
78.2	361	882
78.3	270	949
78.4	447	985
78.5	946	1004
78.6	946	1013
78.7	332	1018
78.8	557	1020
78.9	344	1020
79.0	269	1020
79.1	483	1020
79.2	947	1020
79.3	946	1020
79.4	248	1020
79.5	527	1004
79.6	291	962
79.7	263	957
79.8	388	989
79.9	947	1010
80.0	947	1018
80.1	712	1001
80.2	368	1005
80.3	361	1017
80.4	222	1020
80.5	352	1020
80.6	372	924
80.7	843	716
80.8	947	530
80.9	946	308
81.0	303	160
81.1	391	82
81.2	229	41
81.3	304	20
81.4	362	11
81.5	312	4
81.6	946	0
81.7	947	0
81.8	694	0
81.9	334	0
82.0	371	0
82.1	213	0
82.2	315	0
82.3	374	0
82.4	308	0
82.5	947	0
82.6	947	202
82.7	671	403
82.8	384	677
82.9	396	840
83.0	224	927
83.1	335	973
